"filename", "language", "C++", "Log", "Markdown", "Python", "Shell Script", "YAML", "comment", "blank", "total"
"/home/lz/Lz_Projects/light_reactor/.github/workflows/ci.yml", "YAML", 0, 0, 0, 0, 0, 57, 0, 13, 70
"/home/lz/Lz_Projects/light_reactor/README.md", "Markdown", 0, 0, 145, 0, 0, 0, 0, 65, 210
"/home/lz/Lz_Projects/light_reactor/acceptor.cpp", "C++", 78, 0, 0, 0, 0, 0, 9, 12, 99
"/home/lz/Lz_Projects/light_reactor/acceptor.h", "C++", 30, 0, 0, 0, 0, 0, 7, 8, 45
"/home/lz/Lz_Projects/light_reactor/address.cpp", "C++", 57, 0, 0, 0, 0, 0, 2, 9, 68
"/home/lz/Lz_Projects/light_reactor/address.h", "C++", 28, 0, 0, 0, 0, 0, 5, 9, 42
"/home/lz/Lz_Projects/light_reactor/buffer.cpp", "C++", 242, 0, 0, 0, 0, 0, 11, 39, 292
"/home/lz/Lz_Projects/light_reactor/buffer.h", "C++", 59, 0, 0, 0, 0, 0, 21, 20, 100
"/home/lz/Lz_Projects/light_reactor/channel.cpp", "C++", 171, 0, 0, 0, 0, 0, 4, 10, 185
"/home/lz/Lz_Projects/light_reactor/channel.h", "C++", 46, 0, 0, 0, 0, 0, 11, 12, 69
"/home/lz/Lz_Projects/light_reactor/config.h", "C++", 49, 0, 0, 0, 0, 0, 8, 12, 69
"/home/lz/Lz_Projects/light_reactor/docs/perf_report.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 6, 18
"/home/lz/Lz_Projects/light_reactor/epoll_poller.cpp", "C++", 160, 0, 0, 0, 0, 0, 2, 8, 170
"/home/lz/Lz_Projects/light_reactor/epoll_poller.h", "C++", 28, 0, 0, 0, 0, 0, 3, 6, 37
"/home/lz/Lz_Projects/light_reactor/eventloop.cpp", "C++", 444, 0, 0, 0, 0, 0, 29, 86, 559
"/home/lz/Lz_Projects/light_reactor/eventloop.h", "C++", 72, 0, 0, 0, 0, 0, 28, 23, 123
"/home/lz/Lz_Projects/light_reactor/global.h", "C++", 60, 0, 0, 0, 0, 0, 6, 10, 76
"/home/lz/Lz_Projects/light_reactor/length_field_codec.cpp", "C++", 69, 0, 0, 0, 0, 0, 0, 3, 72
"/home/lz/Lz_Projects/light_reactor/length_field_codec.h", "C++", 20, 0, 0, 0, 0, 0, 9, 8, 37
"/home/lz/Lz_Projects/light_reactor/log_utils.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 8, 59
"/home/lz/Lz_Projects/light_reactor/log_utils.h", "C++", 13, 0, 0, 0, 0, 0, 3, 2, 18
"/home/lz/Lz_Projects/light_reactor/logger.cpp", "C++", 344, 0, 0, 0, 0, 0, 7, 45, 396
"/home/lz/Lz_Projects/light_reactor/logger.h", "C++", 121, 0, 0, 0, 0, 0, 19, 27, 167
"/home/lz/Lz_Projects/light_reactor/main.cpp", "C++", 110, 0, 0, 0, 0, 0, 0, 23, 133
"/home/lz/Lz_Projects/light_reactor/poller.cpp", "C++", 25, 0, 0, 0, 0, 0, 1, 9, 35
"/home/lz/Lz_Projects/light_reactor/poller.h", "C++", 19, 0, 0, 0, 0, 0, 10, 7, 36
"/home/lz/Lz_Projects/light_reactor/scripts/build_linux.sh", "Shell Script", 0, 0, 0, 0, 13, 0, 1, 6, 20
"/home/lz/Lz_Projects/light_reactor/scripts/echo_bench.py", "Python", 0, 0, 0, 92, 0, 0, 1, 24, 117
"/home/lz/Lz_Projects/light_reactor/scripts/fault_injection.py", "Python", 0, 0, 0, 90, 0, 0, 2, 25, 117
"/home/lz/Lz_Projects/light_reactor/scripts/lf_client.py", "Python", 0, 0, 0, 40, 0, 0, 1, 16, 57
"/home/lz/Lz_Projects/light_reactor/scripts/perf_compare.py", "Python", 0, 0, 0, 117, 0, 0, 1, 24, 142
"/home/lz/Lz_Projects/light_reactor/scripts/run_tests.sh", "Shell Script", 0, 0, 0, 0, 40, 0, 1, 9, 50
"/home/lz/Lz_Projects/light_reactor/socket.cpp", "C++", 276, 0, 0, 0, 0, 0, 7, 30, 313
"/home/lz/Lz_Projects/light_reactor/socket.h", "C++", 32, 0, 0, 0, 0, 0, 7, 9, 48
"/home/lz/Lz_Projects/light_reactor/socket_utils.cpp", "C++", 275, 0, 0, 0, 0, 0, 1, 19, 295
"/home/lz/Lz_Projects/light_reactor/socket_utils.h", "C++", 31, 0, 0, 0, 0, 0, 19, 13, 63
"/home/lz/Lz_Projects/light_reactor/tcframe.2026-03-16.log", "Log", 0, 45052, 0, 0, 0, 0, 0, 1, 45053
"/home/lz/Lz_Projects/light_reactor/tcframe.error.2026-03-16.log", "Log", 0, 13, 0, 0, 0, 0, 0, 1, 14
"/home/lz/Lz_Projects/light_reactor/tcpclient.cpp", "C++", 192, 0, 0, 0, 0, 0, 8, 20, 220
"/home/lz/Lz_Projects/light_reactor/tcpclient.h", "C++", 55, 0, 0, 0, 0, 0, 11, 18, 84
"/home/lz/Lz_Projects/light_reactor/tcpconnection.cpp", "C++", 415, 0, 0, 0, 0, 0, 11, 20, 446
"/home/lz/Lz_Projects/light_reactor/tcpconnection.h", "C++", 86, 0, 0, 0, 0, 0, 15, 19, 120
"/home/lz/Lz_Projects/light_reactor/tcpserver.cpp", "C++", 478, 0, 0, 0, 0, 0, 0, 57, 535
"/home/lz/Lz_Projects/light_reactor/tcpserver.h", "C++", 74, 0, 0, 0, 0, 0, 15, 16, 105
"/home/lz/Lz_Projects/light_reactor/tests/test_codec.cpp", "C++", 38, 0, 0, 0, 0, 0, 2, 8, 48
"/home/lz/Lz_Projects/light_reactor/tests/test_common.h", "C++", 31, 0, 0, 0, 0, 0, 0, 4, 35
"/home/lz/Lz_Projects/light_reactor/tests/test_connection_lifecycle.cpp", "C++", 139, 0, 0, 0, 0, 0, 0, 24, 163
"/home/lz/Lz_Projects/light_reactor/tests/test_timer.cpp", "C++", 40, 0, 0, 0, 0, 0, 1, 11, 52
"/home/lz/Lz_Projects/light_reactor/thread_pool.cpp", "C++", 111, 0, 0, 0, 0, 0, 10, 20, 141
"/home/lz/Lz_Projects/light_reactor/thread_pool.h", "C++", 52, 0, 0, 0, 0, 0, 11, 14, 77
"/home/lz/Lz_Projects/light_reactor/wspoll_poller.cpp", "C++", 176, 0, 0, 0, 0, 0, 6, 14, 196
"/home/lz/Lz_Projects/light_reactor/wspoll_poller.h", "C++", 26, 0, 0, 0, 0, 0, 2, 6, 34
"Total", "-", 4823, 45065, 157, 339, 53, 57, 328, 908, 51730